"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 24 03:11:42 CEST 2022","Sun Jul 24 03:11:51 CEST 2022","8985","cardano_node_tests.tests","test_plutus_v2_mint_raw","TestMinting","","","test_minting_two_tokens[reference_script]","Test minting two tokens with a single Plutus script.

        * fund the token issuer and create a UTxO for collateral and possibly reference script
        * check that the expected amount was transferred to token issuer's address
        * mint the tokens using a Plutus script
        * check that the tokens were minted and collateral UTxO was not spent
        "
"passed","Sun Jul 24 03:22:56 CEST 2022","Sun Jul 24 03:22:56 CEST 2022","98","cardano_node_tests.tests","test_transactions","TestNegative","","","test_sign_wrong_file[tx]","Try to sign other file type than specified by command line option (Tx vs Tx body).

        Expect failure when cardano-cli CBOR serialization format is used (not CDDL format).

        * specify Tx file and pass Tx body file
        * specify Tx body file and pass Tx file
        "
"passed","Sun Jul 24 03:17:30 CEST 2022","Sun Jul 24 03:17:36 CEST 2022","6451","cardano_node_tests.tests","test_plutus_v2_spend_raw","TestNegativeReferenceScripts","","","test_v1_attached_v2_reference","Test locking a Tx output with an attached V1 script and one using reference V2 script.

        Expect failure.
        "
"passed","Sun Jul 24 03:08:59 CEST 2022","Sun Jul 24 03:09:05 CEST 2022","5720","cardano_node_tests.tests","test_plutus_spend_raw","TestLocking","","","test_script_invalid","Test failing script together with the `--script-invalid` argument - collateral is taken.

        Test with ""always fails"" script that fails for all datum / redeemer values.

        * create a Tx output with a datum hash at the script address
        * check that the expected amount was locked at the script address
        * try to spend the locked UTxO
        * check that the amount was not transferred and collateral UTxO was spent
        "
"passed","Sun Jul 24 02:46:17 CEST 2022","Sun Jul 24 02:46:35 CEST 2022","17944","cardano_node_tests.tests","test_plutus_mint_raw","TestMinting","","","test_minting_two_tokens[plutus_v1]","Test minting two tokens with a single Plutus script.

        * fund the token issuer and create a UTxO for collateral
        * check that the expected amount was transferred to token issuer's address
        * mint the tokens using a Plutus script
        * check that the tokens were minted and collateral UTxO was not spent
        * (optional) check transactions in db-sync
        "
"passed","Sun Jul 24 02:53:33 CEST 2022","Sun Jul 24 02:59:29 CEST 2022","356903","cardano_node_tests.tests","test_mir_certs","TestMIRCerts","","","test_pay_stake_addr_from_both","Send funds from the reserves and treasury pots to stake address.

        * generate an MIR certificate for transferring from treasury
        * generate an MIR certificate for transferring from reserves
        * submit a TX with the treasury MIR certificate
        * in the same epoch as the previous TX, submit a TX with the reserves MIR certificate
        * check that the expected amount was added to the stake address reward account
        * (optional) check transactions in db-sync
        "
"passed","Sun Jul 24 03:28:22 CEST 2022","Sun Jul 24 03:28:22 CEST 2022","204","cardano_node_tests.tests","test_cli","TestAdvancedQueries","","","test_stake_snapshot","Test `query stake-snapshot`."
"passed","Sun Jul 24 02:58:12 CEST 2022","Sun Jul 24 02:58:19 CEST 2022","7697","cardano_node_tests.tests","test_plutus_spend_build","TestNegative","","","test_collateral_w_tokens[plutus_v2]","Test spending the locked UTxO while collateral contains native tokens.

        Expect failure.

        Uses `cardano-cli transaction build` command for building the transactions.

        * create a collateral UTxO with native tokens
        * try to spend the locked UTxO
        * check that the expected error was raised
        * (optional) check transactions in db-sync
        "
"skipped","Sun Jul 24 03:14:18 CEST 2022","Sun Jul 24 03:14:32 CEST 2022","13479","cardano_node_tests.tests","test_plutus_v2_spend_build","TestCollateralOutput","","","test_collateral_with_tokens","Test failing script using collaterals with tokens.

        * create the token
        * fund the script address and create a UTxO for collateral
        * spend the locked UTxO
        * check that the expected amount of collateral was spent
        "
"passed","Sun Jul 24 04:15:38 CEST 2022","Sun Jul 24 04:19:30 CEST 2022","232022","cardano_node_tests.tests","test_pools","TestStakePool","","","test_deregister_stake_pool[build_raw]","Deregister stake pool.

        * deregister stake pool
        * check that the stake addresses are no longer delegated
        * check that the pool deposit was returned to reward account
        "
