"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 17 15:13:40 CEST 2021","Sat Apr 17 15:13:42 CEST 2021","2711","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_from_invalid_length_address","Try to send funds from address with invalid length (property-based test).

        Expect failure.
        "
"passed","Sat Apr 17 14:19:59 CEST 2021","Sat Apr 17 14:21:20 CEST 2021","80893","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_bundle_minting_and_burning_sign[tokens_db1]","Test minting and burning multiple different tokens that are in single bundle.

        Sign the TX using skeys.

        * mint several tokens using a single script
        * burn the minted tokens
        * check fees in Lovelace
        "
"passed","Sat Apr 17 14:40:10 CEST 2021","Sat Apr 17 14:40:13 CEST 2021","2884","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_long_metadata_url","Try to create pool registration cert when the *metadata-url* is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Sat Apr 17 15:10:27 CEST 2021","Sat Apr 17 15:12:10 CEST 2021","102443","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[100]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Sat Apr 17 14:35:20 CEST 2021","Sat Apr 17 14:41:38 CEST 2021","378497","cardano_node_tests.tests","test_pools","TestStakePool","","","test_create_stake_pool[1]","Create and register a stake pool (without metadata).

        Check that pool was registered.
        "
"passed","Sat Apr 17 14:41:38 CEST 2021","Sat Apr 17 14:41:38 CEST 2021","16","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_homepage","Try to create pool metadata hash when missing the *homepage* key.

        Expect failure.
        "
"passed","Sat Apr 17 14:41:38 CEST 2021","Sat Apr 17 14:41:43 CEST 2021","4553","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Sat Apr 17 15:22:09 CEST 2021","Sat Apr 17 15:22:17 CEST 2021","8240","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change (property-based test).

        * build a not balanced transaction
        * check that it is not possible to submit such transaction
        "
"passed","Sat Apr 17 14:40:10 CEST 2021","Sat Apr 17 14:40:10 CEST 2021","13","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Try to create pool metadata hash when missing the *description* key.

        Expect failure.
        "
"passed","Sat Apr 17 14:40:10 CEST 2021","Sat Apr 17 14:40:10 CEST 2021","13","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Try to create pool metadata hash when missing the *ticker* key.

        Expect failure.
        "
"passed","Sat Apr 17 15:08:44 CEST 2021","Sat Apr 17 15:09:55 CEST 2021","70757","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_no_metadata","Send transaction with auxiliary script and no other metadata.

        Check that the auxiliary script is present in the TX body.
        "
"passed","Sat Apr 17 14:50:31 CEST 2021","Sat Apr 17 14:51:31 CEST 2021","59958","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_before_future","Check that it's NOT possible to spend from the script address.

        The ""before"" slot is in the future and the given range is invalid.
        "
"passed","Mon Mar 29 14:51:19 CEST 2021","Mon Mar 29 14:52:22 CEST 2021","62745","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[100]","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Sat Apr 17 15:19:17 CEST 2021","Sat Apr 17 15:19:17 CEST 2021","39","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_too_long_metadata_json","Try to build a transaction with metadata JSON longer than 64 bytes."
"passed","Sat Apr 17 14:37:39 CEST 2021","Sat Apr 17 14:37:39 CEST 2021","15","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_name","Try to create pool metadata hash when missing the *name* key.

        Expect failure.
        "
"passed","Sat Apr 17 14:12:45 CEST 2021","Sat Apr 17 14:19:59 CEST 2021","434458","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_vkey","Submit registration certificate and delegate to pool using cold vkey.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Mon Mar 29 14:34:08 CEST 2021","Mon Mar 29 14:35:00 CEST 2021","52239","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_witnesses[100]","Test minting and burning multiple different tokens, sign the TX using witnesses."
"passed","Sat Apr 17 14:50:31 CEST 2021","Sat Apr 17 14:51:46 CEST 2021","74902","cardano_node_tests.tests","test_scripts","TestBasic","","","test_normal_tx_from_script_addr","Send funds from script address using TX signed with skeys (not using witness files)."
"skipped","Sat Apr 17 14:10:53 CEST 2021","Sat Apr 17 14:10:53 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_after_future","Test that it's NOT possible to mint tokens when the policy is not met.

        The ""after"" slot is in the future and the given range is invalid.
        "
"failed","Sat Apr 17 14:43:22 CEST 2021","Sat Apr 17 14:43:22 CEST 2021","118","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_no_ada","Try to create an UTxO with just native tokens, no ADA. Expect failure."
"passed","Sat Apr 17 14:34:25 CEST 2021","Sat Apr 17 14:35:20 CEST 2021","54546","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_bundle_minting_and_burning_witnesses[tokens_db0]","Test minting and burning multiple different tokens that are in single bundle.

        Sign the TX using witnesses.

        * mint several tokens using a single script
        * burn the minted tokens
        * check fees in Lovelace
        "
"passed","Sat Apr 17 14:46:41 CEST 2021","Sat Apr 17 14:46:42 CEST 2021","197","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_missing_cold_skey","Try to register pool using transaction with missing Cold skey.

        Expect failure.
        "
"passed","Sat Apr 17 14:39:32 CEST 2021","Sat Apr 17 14:39:33 CEST 2021","291","cardano_node_tests.tests","test_scripts","TestBasic","","","test_script_addr_length","Check that script address length is the same as lenght of other addresses.

        There was an issue that script address was 32 bytes instead of 28 bytes.
        "
"passed","Sat Apr 17 14:35:51 CEST 2021","Sat Apr 17 14:35:53 CEST 2021","1798","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Try to create pool metadata hash when the *ticker* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Sat Apr 17 15:05:20 CEST 2021","Sat Apr 17 15:05:23 CEST 2021","2978","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_negative_fee","Try to send a transaction with negative fee (property-based test).

        Expect failure.
        "
"passed","Sat Apr 17 15:02:47 CEST 2021","Sat Apr 17 15:02:56 CEST 2021","8324","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[1000]","Send a transaction with fee that is same or higher than expected."
"passed","Sat Apr 17 15:06:19 CEST 2021","Sat Apr 17 15:07:10 CEST 2021","50833","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_after","Check that it is possible to spend from script address after given slot."
"passed","Sat Apr 17 14:46:07 CEST 2021","Sat Apr 17 14:47:37 CEST 2021","90512","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_before","Check that it is possible to spend from script address before given slot."
"skipped","Sat Apr 17 15:13:48 CEST 2021","Sat Apr 17 15:13:48 CEST 2021","0","cardano_node_tests.tests","test_transactions","TestNegative","","","test_missing_ttl","Try to build a Shelley era TX with a missing `--ttl` (`--invalid-hereafter`) parameter.

        Expect failure.
        "
