"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 29 15:46:14 CEST 2021","Mon Mar 29 15:46:22 CEST 2021","7821","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_addr_delegation_deregistration","Submit delegation and deregistration certificates in single TX.

        * create stake address registration cert
        * create stake address deregistration cert
        * register stake address
        * create stake address delegation cert
        * delegate and deregister stake address in single TX
        * check that the balance for source address was correctly updated and that the key
          deposit was returned
        * check that the stake address was NOT delegated
        "
"passed","Mon Mar 29 14:55:51 CEST 2021","Mon Mar 29 14:56:12 CEST 2021","20787","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata","Create and register a stake pool with metadata.

        Check that pool was registered and stake address delegated.
        "
"skipped","Mon Mar 29 14:45:34 CEST 2021","Mon Mar 29 14:45:34 CEST 2021","0","cardano_node_tests.tests","test_ledger_state","TestLedgerState","","","test_ledger_state_keys","Check output of `query ledger-state`."
"passed","Mon Mar 29 15:14:46 CEST 2021","Mon Mar 29 15:14:47 CEST 2021","1605","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_all_funds","Send ALL funds from one payment address to another.

        * send all available funds from 1 source address to 1 destination address
        * check expected balance for destination addresses
        * check that balance for source address is 0 Lovelace
        "
"passed","Mon Mar 29 15:24:18 CEST 2021","Mon Mar 29 15:24:21 CEST 2021","3784","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Mon Mar 29 15:29:30 CEST 2021","Mon Mar 29 15:29:31 CEST 2021","208","cardano_node_tests.tests","test_transactions","TestNegative","","","test_nonexistent_utxo_hash","Try to use nonexistent UTxO hash as an input.

        Expect failure.
        "
"skipped","Mon Mar 29 15:49:45 CEST 2021","Mon Mar 29 15:49:45 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[10]","Test minting and burning multiple different tokens, sign the TX using skeys."
"skipped","Mon Mar 29 15:49:41 CEST 2021","Mon Mar 29 15:49:41 CEST 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[50]","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Mon Mar 29 15:13:10 CEST 2021","Mon Mar 29 15:13:18 CEST 2021","7650","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_after_past","Check that it's NOT possible to spend from the script address.

        The ""after"" slot is in the past.
        "
"passed","Mon Mar 29 15:14:52 CEST 2021","Mon Mar 29 15:14:52 CEST 2021","127","cardano_node_tests.tests","test_transactions","TestBasic","","","test_missing_tx_out","Try to build a transaction with a missing `--tx-out` parameter.

        Expect failure on node version < 1.24.2 commit 3d201869.
        "
