"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 11 18:00:41 CEST 2022","Wed May 11 18:00:43 CEST 2022","1336","cardano_node_tests.tests","test_plutus_spend_build","TestNegativeRedeemer","","","test_json_schema_untyped_bytes_int_declared","Try to build a Tx using int value for redeemer when JSON schema specifies byte string.

        Redeemer is in untyped format and the value doesn't comply to JSON schema.
        Expect failure.
        "
"passed","Wed May 11 18:24:58 CEST 2022","Wed May 11 18:25:49 CEST 2022","50417","cardano_node_tests.tests","test_transactions","TestBasic","","","test_build_transfer_funds","Send funds to payment address.

        Uses `cardano-cli transaction build` command for building the transactions.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 18:49:46 CEST 2022","Wed May 11 18:50:03 CEST 2022","17429","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[10000000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 18:31:37 CEST 2022","Wed May 11 18:32:26 CEST 2022","49529","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[build_raw-1500000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 16:44:12 CEST 2022","Wed May 11 16:44:17 CEST 2022","5097","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_invalid_token_amount[build]","Test sending an invalid amount of tokens to payment address."
"passed","Wed May 11 18:54:08 CEST 2022","Wed May 11 18:54:43 CEST 2022","35314","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Wed May 11 17:25:19 CEST 2022","Wed May 11 17:29:09 CEST 2022","229686","cardano_node_tests.tests","test_plutus_spend_build","TestBuildLocking","","","test_txout_token_locking","Test locking a Tx output with a Plutus script and spending the locked UTxO.

        Uses `cardano-cli transaction build` command for building the transactions.

        * create a Tx output that contains native tokens with a datum hash at the script address
        * check that expected amounts of Lovelace and native tokens were locked at the script
          address
        * spend the locked UTxO
        * check that the expected amounts of Lovelace and native tokens were spent
        * check expected fees
        * check expected Plutus cost
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 16:45:08 CEST 2022","Wed May 11 16:46:36 CEST 2022","87679","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_tokens[build-1]","Test sending tokens to payment address.

        * send tokens from 1 source address to 1 destination address
        * check expected token balances for both source and destination addresses
        * check fees in Lovelace
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 18:04:32 CEST 2022","Wed May 11 18:05:58 CEST 2022","86138","cardano_node_tests.tests","test_scripts","TestIncrementalSigning","","","test_incremental_signing[signed-build]","Send funds from script address using TX that is signed incrementally.

        Test with Tx body created by both `transaction build` and `transaction build-raw`.
        Test with Tx created by both `transaction sign` and `transaction assemble`.
        "
"passed","Wed May 11 16:54:49 CEST 2022","Wed May 11 16:55:02 CEST 2022","13211","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_invalid_token_amount[build_raw]","Test sending an invalid amount of tokens to payment address."
"passed","Wed May 11 18:44:28 CEST 2022","Wed May 11 18:45:55 CEST 2022","87036","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_10_addrs[build-2000000]","Test 1 transaction from 10 payment addresses to 10 payment addresses.

        * send funds from 10 source addresses to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 16:21:23 CEST 2022","Wed May 11 23:02:01 CEST 2022","24037610","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_deregister","Deregister stake address.

        * create two payment addresses that share single stake address
        * register and delegate the stake address to pool
        * attempt to deregister the stake address - deregistration is expected to fail
          because there are rewards in the stake address
        * withdraw rewards to payment address and deregister stake address
        * check that the key deposit was returned and rewards withdrawn
        * check that the stake address is no longer delegated
        * (optional) check records in db-sync
        "
"passed","Wed May 11 18:44:26 CEST 2022","Wed May 11 18:44:31 CEST 2022","5091","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_chars_address","Try to send funds from payment address to address with invalid characters.

        Expect failure. Property-based test.
        "
"passed","Wed May 11 18:05:26 CEST 2022","Wed May 11 18:06:29 CEST 2022","63210","cardano_node_tests.tests","test_scripts","TestIncrementalSigning","","","test_incremental_signing[signed-build_raw]","Send funds from script address using TX that is signed incrementally.

        Test with Tx body created by both `transaction build` and `transaction build-raw`.
        Test with Tx created by both `transaction sign` and `transaction assemble`.
        "
"passed","Wed May 11 18:22:00 CEST 2022","Wed May 11 18:23:00 CEST 2022","60519","cardano_node_tests.tests","test_transactions","TestBasic","","","test_duplicate_signing_keys","Send a transaction with duplicate signing key.

        Check that it is possible to specify the same signing key twice.
        "
"passed","Wed May 11 17:59:19 CEST 2022","Wed May 11 18:00:33 CEST 2022","73700","cardano_node_tests.tests","test_plutus_spend_raw","TestLocking","","","test_guessing_game[untyped_cbor]","Test locking a Tx output with a Plutus script and spending the locked UTxO.

        Test with ""guessing game"" scripts that expect specific datum and redeemer value.
        Test both typed and untyped redeemer and datum.
        Test passing datum and redeemer to `cardano-cli` as value, json file and cbor file.

        * create a Tx output with a datum hash at the script address
        * check that the expected amount was locked at the script address
        * spend the locked UTxO
        * check that the expected amount was spent
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 18:24:25 CEST 2022","Wed May 11 18:24:58 CEST 2022","32517","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[1500000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 18:40:15 CEST 2022","Wed May 11 18:40:55 CEST 2022","40528","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 16:41:12 CEST 2022","Wed May 11 16:42:22 CEST 2022","69965","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_addr_delegation_deregistration[build_raw]","Submit delegation and deregistration certificates in single TX.

        * create stake address registration cert
        * create stake address deregistration cert
        * register stake address
        * create stake address delegation cert
        * delegate and deregister stake address in single TX
        * check that the balance for source address was correctly updated and that the key
          deposit was returned
        * check that the stake address was NOT delegated
        * (optional) check records in db-sync
        "
"passed","Wed May 11 18:45:00 CEST 2022","Wed May 11 18:45:05 CEST 2022","4976","cardano_node_tests.tests","test_transactions","TestNegative","","","test_build_send_funds_to_invalid_address","Try to send funds from payment address to non-existent address (property-based test).

        Uses `cardano-cli transaction build` command for building the transactions.

        Expect failure.
        "
"skipped","Wed May 11 16:27:32 CEST 2022","Wed May 11 16:27:32 CEST 2022","0","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_delegate_using_vkey[build_raw]","Submit registration certificate and delegate to pool using cold vkey.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        * (optional) check records in db-sync
        "
"passed","Wed May 11 17:33:39 CEST 2022","Wed May 11 17:34:25 CEST 2022","46469","cardano_node_tests.tests","test_plutus_spend_raw","TestNegative","","","test_no_datum_txout","Test using UTxO without datum hash in place of locked UTxO.

        Expect failure.

        * create a Tx output without a datum hash
        * try to spend the UTxO like it was locked Plutus UTxO
        * check that the expected error was raised
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 17:45:07 CEST 2022","Wed May 11 17:45:07 CEST 2022","36","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Try to generate pool registration certificate using wrong Cold vkey.

        Expect failure.
        "
"passed","Wed May 11 16:51:29 CEST 2022","Wed May 11 16:53:17 CEST 2022","108473","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_bundle_minting_and_burning_witnesses[tokens_db3]","Test minting and burning multiple different tokens that are in single bundle.

        Sign the TX using witnesses.

        * mint several tokens using a single script
        * burn the minted tokens
        * check fees in Lovelace
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 18:21:21 CEST 2022","Wed May 11 18:23:02 CEST 2022","101477","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_before[build_raw]","Check that it is possible to spend from script address before given slot."
"passed","Wed May 11 17:32:57 CEST 2022","Wed May 11 17:32:58 CEST 2022","1333","cardano_node_tests.tests","test_plutus_spend_raw","TestNegativeRedeemer","","","test_wrong_value_above_range","Try to spend a locked UTxO with a redeemer int value > maximum allowed value.

        Expect failure.
        "
"passed","Wed May 11 17:09:19 CEST 2022","Wed May 11 17:10:51 CEST 2022","91966","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_minting_multiple_scripts","Test minting of tokens using several different scripts in single transaction.

        * create tokens issuers
        * create a script for each issuer
        * mint 2 tokens with each script - one identified by policyid + asset name
          and one identified by just policyid. The minting is done in single transaction,
          the transaction is signed using skeys.
        * check that the tokens were minted
        * burn the minted tokens
        * check that the tokens were burnt
        * check fees in Lovelace
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 18:50:56 CEST 2022","Wed May 11 18:50:56 CEST 2022","56","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_wrong_json_metadata_format","Try to build a transaction with wrong format of metadata JSON.

        The metadata file is a valid JSON, but not in a format that is expected.
        "
"passed","Wed May 11 18:52:41 CEST 2022","Wed May 11 18:52:41 CEST 2022","138","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_negative_change","Try to build a transaction with a negative change.

        Check that it is not possible to build such transaction.
        "
"passed","Wed May 11 17:11:10 CEST 2022","Wed May 11 17:11:12 CEST 2022","1411","cardano_node_tests.tests","test_plutus_spend_build","TestNegativeRedeemer","","","test_invalid_json","Try to build a Tx using a redeemer value that is invalid JSON.

        Expect failure.
        "
"passed","Wed May 11 18:49:16 CEST 2022","Wed May 11 18:49:46 CEST 2022","29252","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_build_tx_metadata_both","Send transaction with both metadata JSON and CBOR.

        Uses `cardano-cli transaction build` command for building the transactions.

        Check that the metadata in TX body matches the original metadata.
        "
"passed","Wed May 11 16:21:20 CEST 2022","Thu May 12 01:00:25 CEST 2022","31144579","cardano_node_tests.tests","test_delegation","TestDelegateAddr","","","test_undelegate","Undelegate stake address.

        * submit registration certificate and delegate to pool
        * wait for first reward
        * undelegate stake address:

           - withdraw rewards to payment address
           - deregister stake address
           - re-register stake address

        * check that the key deposit was not returned
        * check that rewards were withdrawn
        * check that the stake address is still registered
        * check that the stake address is no longer delegated
        * (optional) check records in db-sync
        "
"passed","Wed May 11 16:48:32 CEST 2022","Wed May 11 16:50:02 CEST 2022","90657","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_tokens[build-2000]","Test sending tokens to payment address.

        * send tokens from 1 source address to 1 destination address
        * check expected token balances for both source and destination addresses
        * check fees in Lovelace
        * (optional) check transactions in db-sync
        "
"passed","Wed May 11 18:34:35 CEST 2022","Wed May 11 18:34:39 CEST 2022","4886","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_wrong_balance","Build a transaction with unbalanced change (property-based test).

        * build an unbalanced transaction
        * check that it is not possible to submit such transaction
        "
"passed","Wed May 11 17:50:39 CEST 2022","Wed May 11 17:50:43 CEST 2022","3999","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Wed May 11 18:32:07 CEST 2022","Wed May 11 18:32:25 CEST 2022","18507","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_no_metadata[build]","Send transaction with auxiliary script and no other metadata.

        Check that the auxiliary script is present in the TX body.
        "
"passed","Wed May 11 18:32:25 CEST 2022","Wed May 11 18:33:00 CEST 2022","34403","cardano_node_tests.tests","test_transactions","TestBasic","","","test_get_txid","Get transaction ID (txid) from transaction body.

        Transaction ID is a hash of transaction body and doesn't change for a signed TX.

        * send funds from 1 source address to 1 destination address
        * get txid from transaction body
        * get txid from signed transaction
        * check that txid from transaction body matches the txid from signed transaction
        * check that txid has expected length
        * check that the txid is listed in UTxO hashes for both source and destination addresses
        "
"passed","Wed May 11 18:30:49 CEST 2022","Wed May 11 18:32:08 CEST 2022","78554","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_after[build_raw]","Check that it is possible to spend from script address after given slot."
"passed","Wed May 11 18:55:09 CEST 2022","Wed May 11 18:56:47 CEST 2022","98630","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[build-1500000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 18:33:00 CEST 2022","Wed May 11 18:33:54 CEST 2022","54446","cardano_node_tests.tests","test_transactions","TestBasic","","","test_multiple_same_txins","Try to build a transaction with multiple identical txins."
"passed","Wed May 11 17:45:07 CEST 2022","Wed May 11 17:45:07 CEST 2022","35","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_stake","Try to generate pool registration certificate using wrong stake vkey.

        Expect failure.
        "
"passed","Wed May 11 23:04:20 CEST 2022","Wed May 11 23:04:20 CEST 2022","25","cardano_node_tests.tests","test_cli","TestKey","","","test_non_extended_key_error","Try to get a non-extended verification key with a signing key file.

        Expect failure. Should only allow extended verification key files.
        "
"passed","Wed May 11 16:21:19 CEST 2022","Wed May 11 16:41:13 CEST 2022","1193994","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_not_avail_metadata[build_raw]","Create and register a stake pool with metadata file not available.

        Check that pool was registered and stake address delegated.
        "
"passed","Wed May 11 18:29:23 CEST 2022","Wed May 11 18:30:45 CEST 2022","82672","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[build_raw-10000000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed May 11 18:06:03 CEST 2022","Wed May 11 18:06:03 CEST 2022","14","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_ticker","Try to create pool metadata hash when missing the *ticker* key.

        Expect failure.
        "
"passed","Wed May 11 16:21:20 CEST 2022","Wed May 11 17:00:17 CEST 2022","2336769","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[build]","Update stake pool metadata.

        * register pool
        * update the pool metadata by resubmitting the pool registration certificate
        * check that the pool metadata hash was correctly updated on chain
        "
"passed","Wed May 11 18:38:53 CEST 2022","Wed May 11 18:38:55 CEST 2022","1737","cardano_node_tests.tests","test_transactions","TestNotBalanced","","","test_build_transfer_unavailable_funds","Try to build a transaction with more funds than available `transaction build`.

        Check that it is not possible to build such transaction.
        "
"passed","Wed May 11 18:40:56 CEST 2022","Wed May 11 18:40:58 CEST 2022","1802","cardano_node_tests.tests","test_transactions","TestNegative","","","test_build_send_funds_from_invalid_address","Try to send funds from non-existent address (property-based test).

        Uses `cardano-cli transaction build` command for building the transactions.

        Expect failure.
        "
"passed","Wed May 11 18:38:54 CEST 2022","Wed May 11 18:40:51 CEST 2022","116375","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[build-2000000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"skipped","Wed May 11 17:56:18 CEST 2022","Wed May 11 17:56:53 CEST 2022","34873","cardano_node_tests.tests","test_scripts","TestBasic","","","test_multisig_no_required_atleast","Send funds from script address using the *atLeast* script with no required witnesses."
"passed","Wed May 11 17:16:14 CEST 2022","Wed May 11 17:16:16 CEST 2022","1456","cardano_node_tests.tests","test_plutus_spend_build","TestNegativeRedeemer","","","test_json_schema_typed_invalid_type","Try to build a Tx using a JSON typed schema that specifies an invalid type.

        Expect failure.
        "
"passed","Wed May 11 18:23:10 CEST 2022","Wed May 11 18:24:26 CEST 2022","75660","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_metadata_json[build_raw]","Send transaction with auxiliary script and metadata JSON.

        Check that the auxiliary script is present in the TX body.
        "
"passed","Wed May 11 16:21:21 CEST 2022","Wed May 11 16:26:29 CEST 2022","307780","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata[build_raw]","Create and register a stake pool with metadata.

        Check that pool was registered and stake address delegated.
        "
"passed","Wed May 11 18:41:28 CEST 2022","Wed May 11 18:41:28 CEST 2022","58","cardano_node_tests.tests","test_transactions","TestNegative","","","test_build_missing_change_address","Try to build a transaction with a missing `--change-address` parameter.

        Uses `cardano-cli transaction build` command for building the transactions.

        Expect failure.
        "
