"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 26 18:46:48 CET 2021","Tue Jan 26 18:46:56 CET 2021","7581","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[100000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Jan 26 18:45:24 CET 2021","Tue Jan 26 18:45:26 CET 2021","2698","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_expected_or_higher_fee[0]","Send a transaction with fee that is same or higher than expected."
"skipped","Tue Jan 26 18:42:36 CET 2021","Tue Jan 26 18:42:36 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Tue Jan 26 18:56:06 CET 2021","Tue Jan 26 18:56:14 CET 2021","8240","cardano_node_tests.tests","test_transactions","TestNegative","","","test_send_funds_to_invalid_length_address","Try to send funds from payment address to address with invalid length.

        Expect failure. Property-based test.
        "
"skipped","Tue Jan 26 19:46:02 CET 2021","Tue Jan 26 19:46:02 CET 2021","0","cardano_node_tests.tests","test_native_tokens","TestTransfer","","","test_transfer_tokens[200]","Test sending tokens to payment address.

        * send tokens from 1 source address to 1 destination address
        * check expected token balances for both source and destination addresses
        * check fees in Lovelace
        "
"passed","Tue Jan 26 19:22:26 CET 2021","Tue Jan 26 19:22:39 CET 2021","13070","cardano_node_tests.tests","test_transactions","TestManyUTXOs","","","test_mini_transactions[2000]","Test transaction with many UTxOs (300+) with tiny amounts of Lovelace (1-1000000).

        * use source address with many UTxOs (100000+)
        * use destination address with many UTxOs (100000+)
        * sent transaction with many UTxOs (300+) with tiny amounts of Lovelace from source address
          to destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Jan 26 18:47:03 CET 2021","Tue Jan 26 18:47:13 CET 2021","9718","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_100_addrs_from_50_addrs[100]","Test 1 transaction from 50 payment addresses to 100 payment addresses.

        * send funds from 50 source addresses to 100 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Tue Jan 26 18:43:37 CET 2021","Tue Jan 26 18:43:39 CET 2021","2296","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_ticker","Try to create pool metadata hash when the *ticker* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Tue Jan 26 18:44:41 CET 2021","Tue Jan 26 18:44:46 CET 2021","4952","cardano_node_tests.tests","test_scripts","TestBasic","","","test_normal_tx_to_script_addr","Send funds to script address using TX signed with skeys (not using witness files)."
"passed","Tue Jan 26 18:45:38 CET 2021","Tue Jan 26 18:45:38 CET 2021","74","cardano_node_tests.tests","test_transaction_fees","TestExpectedFees","","","test_transaction_to_1_addr_from_1_addr_fees[amount_expected0]","Test fees for 1 tx from 1 payment address to 1 payment address."
"passed","Tue Jan 26 19:35:59 CET 2021","Tue Jan 26 19:49:24 CET 2021","804791","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired.

        * deregister stake pool in epoch + 2
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that no additional pool deposit was used
        * check that pool is still correctly setup
        * check that the stake addresses is still delegated
        "
