"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 14 22:32:58 CEST 2021","Wed Jul 14 22:32:58 CEST 2021","15","cardano_node_tests.tests","test_staking","TestNegative","","","test_registration_cert_with_wrong_key","Try to generate stake address registration certificate using wrong stake vkey.

        Expect failure.
        "
"skipped","Wed Jul 14 22:37:07 CEST 2021","Wed Jul 14 22:37:07 CEST 2021","1","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[100]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Jul 14 22:19:53 CEST 2021","Wed Jul 14 22:19:53 CEST 2021","43","cardano_node_tests.tests","test_pools","TestNegative","","","test_pool_registration_cert_wrong_cold","Try to generate pool registration certificate using wrong Cold vkey.

        Expect failure.
        "
"passed","Wed Jul 14 22:03:52 CEST 2021","Thu Jul 15 01:39:10 CEST 2021","12917907","cardano_node_tests.tests","test_pools","TestStakePool","","","test_sign_in_multiple_stages","Create and register a stake pool with TX signed in multiple stages.

        * create stake pool registration cert
        * create witness file for each signing key
        * sign TX using witness files
        * create and register pool
        * check that the pool was correctly registered on chain
        "
"passed","Wed Jul 14 22:17:41 CEST 2021","Wed Jul 14 22:17:41 CEST 2021","16","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_no_description","Try to create pool metadata hash when missing the *description* key.

        Expect failure.
        "
"passed","Wed Jul 14 22:41:30 CEST 2021","Wed Jul 14 22:49:19 CEST 2021","468623","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_10_transactions","Send 10 transactions to payment address.

        * send funds from 1 source address to 1 destination address in 10 separate transactions
        * check expected balances for both source and destination addresses
        "
"passed","Wed Jul 14 22:38:48 CEST 2021","Wed Jul 14 22:39:45 CEST 2021","57152","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Wed Jul 14 22:14:20 CEST 2021","Wed Jul 14 22:14:20 CEST 2021","410","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_before_future","Test that it's NOT possible to mint tokens when the policy is not met.

        The ""before"" slot is in the future and the given range is invalid.
        "
"passed","Wed Jul 14 22:30:15 CEST 2021","Wed Jul 14 22:30:16 CEST 2021","160","cardano_node_tests.tests","test_staking","TestNegative","","","test_delegate_unregistered_addr","Try to delegate unregistered stake address.

        Expect failure.
        "
"passed","Wed Jul 14 22:06:06 CEST 2021","Wed Jul 14 22:06:06 CEST 2021","15","cardano_node_tests.tests","test_cli","TestAddressInfo","","","test_address_info_payment[static]","Check payment address info."
