"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 23 00:34:53 CET 2021","Tue Mar 23 00:36:06 CET 2021","73087","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[11000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 00:34:07 CET 2021","Tue Mar 23 00:34:53 CET 2021","46662","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[100]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 00:28:58 CET 2021","Tue Mar 23 00:29:12 CET 2021","13463","cardano_node_tests.tests","test_transactions","TestBasic","","","test_extra_signing_keys","Send a transaction with extra signing key.

        Check that it is possible to use unneded signing key in addition to the necessary
        signing keys for signing the transaction.
        "
"passed","Tue Mar 23 00:33:58 CET 2021","Tue Mar 23 00:34:07 CET 2021","8399","cardano_node_tests.tests","test_transactions","TestBasic","","","test_transfer_funds[2000]","Send funds to payment address.

        * send funds from 1 source address to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 08:04:00 CET 2021","Tue Mar 23 08:05:33 CET 2021","93135","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[5]","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Tue Mar 23 10:05:46 CET 2021","Tue Mar 23 10:06:34 CET 2021","48030","cardano_node_tests.tests","test_transactions","TestBasic","","","test_missing_ttl","Submit a transaction with a missing `--ttl` (`--invalid-hereafter`) parameter."
"passed","Tue Mar 23 02:01:41 CET 2021","Tue Mar 23 10:01:46 CET 2021","28805372","cardano_node_tests.tests","test_pools","TestStakePool","","","test_cancel_stake_pool_deregistration","Reregister a stake pool that is in course of being retired.

        * deregister stake pool in epoch + 2
        * reregister the pool by resubmitting the pool registration certificate
        * delegate stake address to pool again (the address is already registered)
        * check that no additional pool deposit was used
        * check that pool is still correctly setup
        * check that the stake addresses is still delegated
        "
"passed","Tue Mar 23 00:01:06 CET 2021","Tue Mar 23 00:01:22 CET 2021","15989","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_sign[100]","Test minting and burning multiple different tokens, sign the TX using skeys."
"passed","Tue Mar 23 00:33:05 CET 2021","Tue Mar 23 00:33:52 CET 2021","46472","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_10_addrs_from_1_addr[11000]","Test 1 transaction from 1 payment address to 10 payment addresses.

        * send funds from 1 source address to 10 destination addresses
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 00:06:48 CET 2021","Tue Mar 23 00:06:54 CET 2021","5302","cardano_node_tests.tests","test_pools","TestNegative","","","test_stake_pool_metadata_long_name","Try to create pool metadata hash when the *name* value is longer than allowed.

        Expect failure. Property-based test.
        "
"passed","Tue Mar 23 00:02:54 CET 2021","Tue Mar 23 00:03:26 CET 2021","32362","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_multi_minting_and_burning_witnesses[10]","Test minting and burning multiple different tokens, sign the TX using witnesses."
"passed","Tue Mar 23 00:18:01 CET 2021","Tue Mar 23 00:18:21 CET 2021","19860","cardano_node_tests.tests","test_scripts","TestBasic","","","test_normal_tx_to_script_addr","Send funds to script address using TX signed with skeys (not using witness files)."
"passed","Mon Mar 22 23:57:40 CET 2021","Tue Mar 23 00:05:28 CET 2021","468500","cardano_node_tests.tests","test_staking","TestDelegateAddr","","","test_delegate_using_pool_id","Submit registration certificate and delegate to pool using pool id.

        * register stake address and delegate it to pool
        * check that the stake address was delegated
        "
"passed","Tue Mar 23 00:03:12 CET 2021","Tue Mar 23 00:03:13 CET 2021","1103","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_before_past","Test that it's NOT possible to mint tokens when the ""before"" slot is in the past."
"passed","Tue Mar 23 00:24:21 CET 2021","Tue Mar 23 00:24:21 CET 2021","46","cardano_node_tests.tests","test_scripts","TestAuxiliaryScripts","","","test_tx_script_invalid","Build transaction with invalid auxiliary script.

        Expect failure.
        "
"passed","Tue Mar 23 00:34:07 CET 2021","Tue Mar 23 00:34:53 CET 2021","45953","cardano_node_tests.tests","test_transactions","TestMultiInOut","","","test_transaction_to_1_addr_from_10_addrs[100000]","Test 1 transaction from 10 payment addresses to 1 payment address.

        * send funds from 10 source addresses to 1 destination address
        * check expected balances for both source and destination addresses
        "
"passed","Tue Mar 23 00:28:58 CET 2021","Tue Mar 23 00:29:12 CET 2021","13827","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_before_past","Check that it's NOT possible to spend from the script address.

        The ""before"" slot is in the past.
        "
"passed","Tue Mar 23 00:13:27 CET 2021","Tue Mar 23 00:14:01 CET 2021","34361","cardano_node_tests.tests","test_scripts","TestBasic","","","test_multisig_no_required_atleast","Send funds from script address using the *atLeast* script with no required witnesses."
"passed","Tue Mar 23 00:24:03 CET 2021","Tue Mar 23 00:24:03 CET 2021","161","cardano_node_tests.tests","test_transaction_fees","TestFee","","","test_smaller_fee[1.1]","Try to send a transaction with smaller-than-expected fee.

        Expect failure.
        "
"passed","Tue Mar 23 02:01:15 CET 2021","Tue Mar 23 04:01:13 CET 2021","7197670","cardano_node_tests.tests","test_pools","TestStakePool","","","test_update_stake_pool_metadata[2]","Update stake pool metadata.

        * register pool
        * update the pool metadata by resubmitting the pool registration certificate
        * check that the pool metadata hash was correctly updated on chain
        "
"passed","Tue Mar 23 00:01:06 CET 2021","Tue Mar 23 00:01:07 CET 2021","1133","cardano_node_tests.tests","test_native_tokens","TestPolicies","","","test_policy_after_future","Test that it's NOT possible to mint tokens.

        The ""after"" slot is in the future and the given range is invalid.
        "
"passed","Tue Mar 23 00:07:18 CET 2021","Tue Mar 23 00:11:27 CET 2021","249458","cardano_node_tests.tests","test_pools","TestStakePool","","","test_stake_pool_metadata_not_avail","Create and register a stake pool with metadata file not available.

        Check that pool was registered and stake address delegated.
        "
"passed","Tue Mar 23 00:19:10 CET 2021","Tue Mar 23 00:20:09 CET 2021","59126","cardano_node_tests.tests","test_scripts","TestTimeLocking","","","test_script_after","Check that it is possible to spend from script address after given slot."
"passed","Tue Mar 23 00:05:28 CET 2021","Tue Mar 23 00:07:18 CET 2021","109538","cardano_node_tests.tests","test_native_tokens","TestMinting","","","test_minting_and_partial_burning","Test minting and partial burning of tokens."
"passed","Tue Mar 23 00:35:53 CET 2021","Tue Mar 23 00:35:58 CET 2021","5439","cardano_node_tests.tests","test_transactions","TestNegative","","","test_invalid_lenght_utxo_hash","Try to use invalid UTxO hash as an input (property-based test).

        Expect failure.
        "
"passed","Tue Mar 23 00:33:52 CET 2021","Tue Mar 23 00:33:58 CET 2021","6337","cardano_node_tests.tests","test_transactions","TestBasic","","","test_duplicate_signing_keys","Send a transaction with duplicate signing key.

        Check that it is possible to specify the same signing key twice.
        "
"passed","Tue Mar 23 00:41:35 CET 2021","Tue Mar 23 00:42:43 CET 2021","67559","cardano_node_tests.tests","test_transactions","TestMetadata","","","test_tx_metadata_cbor","Send transaction with metadata CBOR.

        Check that the metadata in TX body matches the original metadata.
        "
